Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Total Square Feet (ft),Total Lot Square Feet (ft),Total Cost Per Square Feet ($),Total Lot Cost Per Square Feet ($)
10,1077,0,0,None,2,2fmCon,TA,No,851,0,GLQ,Unf,1,0,TA,140,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,NO,TA,2,BrkTil,1,Typ,205,1,TA,RFn,Gd,Attchd,1939.0,1077,0,GasA,Ex,1.5Unf,2,TA,Lvl,Gtl,7420,Corner,50.0,Reg,0,190,RL,0.0,None,No,0,1,BrkSide,4,6,5,Y,0,No,CompShg,Gable,Normal,118000,WD,0,Pave,5,991,AllPub,0,1939,1950,2008,1928,7420,61.2,15.902964959568733
11,1040,0,0,None,3,1Fam,TA,No,906,0,Rec,Unf,1,0,TA,134,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NO,NO,0,CBlock,1,Typ,384,1,TA,Unf,TA,Detchd,1965.0,1040,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,None,No,0,2,Sawyer,0,5,5,Y,0,No,CompShg,Hip,Normal,129500,WD,0,Pave,5,1040,AllPub,0,1965,1965,2008,1946,11200,66.55,11.5625
12,1182,1142,0,None,4,1Fam,TA,No,998,0,GLQ,Unf,1,0,Ex,177,Y,Norm,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,NO,Gd,2,PConc,3,Typ,736,3,TA,Fin,TA,BuiltIn,2005.0,2324,0,GasA,Ex,2Story,1,Ex,Lvl,Gtl,11924,Inside,85.0,IR1,0,60,RL,286.0,Stone,No,0,7,NridgHt,21,5,9,Y,0,No,CompShg,Hip,Partial,345000,New,0,Pave,11,1175,AllPub,147,2005,2006,2006,3322,11924,103.85,28.933243877893325
13,912,0,0,None,2,1Fam,TA,No,737,0,ALQ,Unf,1,0,TA,175,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,NO,NO,0,CBlock,1,Typ,352,1,TA,Unf,TA,Detchd,1962.0,912,0,GasA,TA,1Story,1,TA,Lvl,Gtl,12968,Inside,0,IR2,0,20,RL,0.0,None,No,0,9,Sawyer,0,6,5,Y,0,No,CompShg,Hip,Normal,144000,WD,176,Pave,4,912,AllPub,140,1962,1962,2008,1649,12968,87.33,11.104256631708822
14,1494,0,0,None,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Gd,1494,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,840,3,TA,RFn,TA,Attchd,2006.0,1494,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10652,Inside,91.0,IR1,0,20,RL,306.0,Stone,No,0,8,CollgCr,33,5,7,Y,0,No,CompShg,Gable,Partial,279500,New,0,Pave,7,1494,AllPub,160,2006,2007,2007,1494,10652,187.08,26.239203905369884
15,1253,0,0,None,2,1Fam,TA,No,733,0,BLQ,Unf,1,0,TA,520,Y,Norm,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,352,1,TA,RFn,TA,Attchd,1960.0,1253,1,GasA,TA,1Story,1,TA,Lvl,Gtl,10920,Corner,0,IR1,0,20,RL,212.0,BrkFace,No,0,5,NAmes,213,5,6,Y,0,No,CompShg,Hip,Normal,157000,WD,0,Pave,5,1253,AllPub,0,1960,1960,2008,1986,10920,79.05,14.377289377289378
16,854,0,0,None,2,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,832,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,NO,0,BrkTil,1,Typ,576,2,TA,Unf,TA,Detchd,1991.0,854,0,GasA,Ex,1.5Unf,1,TA,Lvl,Gtl,6120,Corner,51.0,Reg,0,45,RM,0.0,None,No,0,7,BrkSide,112,8,7,Y,0,No,CompShg,Gable,Normal,132000,WD,0,Pave,5,832,AllPub,48,1929,2001,2007,854,6120,154.57,21.568627450980394
17,1004,0,0,None,2,1Fam,TA,No,578,0,ALQ,Unf,1,0,TA,426,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NO,TA,1,CBlock,1,Typ,480,2,TA,Fin,TA,Attchd,1970.0,1004,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11241,CulDSac,0,IR1,0,20,RL,180.0,BrkFace,Shed,700,3,NAmes,0,7,6,Y,0,No,CompShg,Gable,Normal,149000,WD,0,Pave,5,1004,AllPub,0,1970,1970,2010,1582,11241,94.18,13.255048483231029
18,1296,0,0,None,2,Duplex,No,No,0,0,No,No,0,0,No,0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,NO,NO,0,Slab,2,Typ,516,2,TA,Unf,TA,CarPort,1967.0,1296,0,GasA,TA,1Story,2,TA,Lvl,Gtl,10791,Inside,72.0,Reg,0,90,RL,0.0,None,Shed,500,10,Sawyer,0,5,4,Y,0,No,CompShg,Gable,Normal,90000,WD,0,Pave,6,0,AllPub,0,1967,1967,2006,1296,10791,69.44,8.340283569641368
19,1114,0,0,None,3,1Fam,TA,No,646,0,GLQ,Unf,1,0,TA,468,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,NO,0,PConc,1,Typ,576,2,TA,Unf,TA,Detchd,2004.0,1114,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13695,Inside,66.0,Reg,0,20,RL,0.0,None,No,0,6,SawyerW,102,5,5,Y,0,No,CompShg,Gable,Normal,159000,WD,0,Pave,6,1114,AllPub,0,2004,2004,2008,1760,13695,90.34,11.610076670317634
20,1339,0,0,None,3,1Fam,TA,No,504,0,LwQ,Unf,0,0,TA,525,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,MnPrv,NO,0,CBlock,1,Min1,294,1,TA,Unf,TA,Attchd,1958.0,1339,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7560,Inside,70.0,Reg,0,20,RL,0.0,None,No,0,5,NAmes,0,6,5,Y,0,No,CompShg,Hip,Abnorml,139000,COD,0,Pave,6,1029,AllPub,0,1958,1965,2009,1843,7560,75.42,18.386243386243386
21,1158,1218,0,None,4,1Fam,TA,Av,0,0,Unf,Unf,0,0,Ex,1158,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,3,Typ,853,3,TA,RFn,TA,BuiltIn,2005.0,2376,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14215,Corner,101.0,IR1,0,60,RL,380.0,BrkFace,No,0,11,NridgHt,154,5,8,Y,0,No,CompShg,Gable,Partial,325300,New,0,Pave,9,1158,AllPub,240,2005,2006,2006,2376,14215,136.91,22.884277172001408
22,1108,0,0,Grvl,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,637,Y,Norm,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,280,1,TA,Unf,TA,Attchd,1930.0,1108,0,GasA,Ex,1.5Unf,1,Gd,Bnk,Gtl,7449,Inside,57.0,Reg,0,45,RM,0.0,None,No,0,6,IDOTRR,0,7,7,N,0,No,CompShg,Gable,Normal,139400,WD,0,Pave,6,637,AllPub,0,1930,1950,2007,1108,7449,125.81,18.71392133172238
23,1795,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1777,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,534,2,TA,RFn,TA,Attchd,2002.0,1795,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9742,Inside,75.0,Reg,0,20,RL,281.0,BrkFace,No,0,9,CollgCr,159,5,8,Y,0,No,CompShg,Hip,Normal,230000,WD,0,Pave,7,1777,AllPub,171,2002,2002,2008,1795,9742,128.13,23.609115171422705
24,1060,0,0,None,3,TwnhsE,TA,No,840,0,GLQ,Unf,1,0,Gd,200,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,NO,TA,1,PConc,1,Typ,572,2,TA,Unf,TA,Attchd,1976.0,1060,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4224,Inside,44.0,Reg,0,120,RM,0.0,None,No,0,6,MeadowV,110,7,5,Y,0,No,CompShg,Gable,Normal,129900,WD,0,Pave,6,1040,AllPub,100,1976,1976,2007,1900,4224,68.37,30.75284090909091
25,1060,0,0,None,3,1Fam,TA,Mn,188,668,Rec,ALQ,1,0,TA,204,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,270,1,TA,Unf,TA,Attchd,1968.0,1060,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8246,Inside,0,IR1,0,20,RL,0.0,None,No,0,5,Sawyer,90,8,5,Y,0,No,CompShg,Gable,Normal,154000,WD,0,Pave,6,1060,AllPub,406,1968,2001,2010,1916,8246,80.38,18.67572156196944
26,1600,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1566,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,890,3,TA,RFn,TA,Attchd,2007.0,1600,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14230,Corner,110.0,Reg,0,20,RL,640.0,Stone,No,0,7,NridgHt,56,5,8,Y,0,No,CompShg,Gable,Normal,256300,WD,0,Pave,7,1566,AllPub,0,2007,2007,2009,1600,14230,160.19,18.011243851018975
27,900,0,0,None,3,1Fam,TA,Mn,234,486,BLQ,Rec,0,1,TA,180,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NO,NO,0,CBlock,1,Typ,576,2,TA,Unf,TA,Detchd,2005.0,900,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7200,Corner,60.0,Reg,0,20,RL,0.0,None,No,0,5,NAmes,32,7,5,Y,0,No,CompShg,Gable,Normal,134800,WD,0,Pave,5,900,AllPub,222,1951,2000,2010,1620,7200,83.21,18.72222222222222
28,1704,0,0,None,3,1Fam,TA,No,1218,0,GLQ,Unf,1,0,Ex,486,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,772,3,TA,RFn,TA,Attchd,2008.0,1704,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11478,Inside,98.0,Reg,0,20,RL,200.0,Stone,No,0,5,NridgHt,50,5,8,Y,0,No,CompShg,Gable,Normal,306000,WD,0,Pave,7,1704,AllPub,0,2007,2008,2010,2922,11478,104.72,26.659696811291166
29,1600,0,0,None,2,1Fam,TA,Gd,1277,0,BLQ,Unf,1,0,TA,207,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,NO,Gd,2,CBlock,1,Typ,319,1,TA,RFn,TA,Attchd,1957.0,1600,0,GasA,TA,1Story,1,TA,Lvl,Gtl,16321,CulDSac,47.0,IR1,0,20,RL,0.0,None,No,0,12,NAmes,258,6,5,Y,0,No,CompShg,Gable,Normal,207500,WD,0,Pave,6,1484,AllPub,288,1957,1997,2006,2877,16321,72.12,12.713681759696097
30,520,0,0,None,1,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,520,N,Feedr,RRNn,SBrkr,87,TA,TA,MetalSd,MetalSd,NO,NO,0,BrkTil,1,Typ,240,1,TA,Unf,Fa,Detchd,1920.0,520,0,GasA,Fa,1Story,1,Fa,Lvl,Gtl,6324,Inside,60.0,IR1,0,30,RM,0.0,None,No,0,5,BrkSide,0,6,4,Y,0,No,CompShg,Gable,Normal,68500,WD,0,Pave,4,520,AllPub,49,1927,1950,2008,520,6324,131.73,10.831752055660974
31,649,668,0,Pave,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,649,N,Feedr,Norm,SBrkr,172,Fa,TA,BrkFace,BrkFace,MnPrv,NO,0,BrkTil,1,Typ,250,1,Fa,Unf,TA,Detchd,1920.0,1317,0,GasA,TA,2Story,1,TA,Lvl,Gtl,8500,Inside,50.0,Reg,0,70,C (all),0.0,None,No,0,7,IDOTRR,54,4,4,N,0,No,CompShg,Gambrel,Normal,40000,WD,0,Pave,6,649,AllPub,0,1920,1950,2008,1317,8500,30.37,4.705882352941177
32,1228,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,1228,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,NO,0,CBlock,1,Typ,271,1,TA,Unf,TA,Attchd,1966.0,1228,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,8544,CulDSac,0,IR1,0,20,RL,0.0,None,No,0,6,Sawyer,65,6,5,Y,0,No,CompShg,Gable,Normal,149350,WD,0,Pave,6,1228,AllPub,0,1966,2006,2008,1228,8544,121.62,17.480102996254683
33,1234,0,0,None,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Ex,1234,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,NO,0,PConc,2,Typ,484,2,TA,RFn,TA,Attchd,2007.0,1234,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11049,Corner,85.0,Reg,0,20,RL,0.0,None,No,0,1,CollgCr,30,5,8,Y,0,No,CompShg,Gable,Normal,179900,WD,0,Pave,7,1234,AllPub,0,2007,2007,2008,1234,11049,145.79,16.282016472078922
34,1700,0,0,None,4,1Fam,TA,No,1018,0,Rec,Unf,0,1,TA,380,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,NO,Gd,1,CBlock,1,Typ,447,2,TA,RFn,TA,Attchd,1959.0,1700,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10552,Inside,70.0,IR1,0,20,RL,0.0,None,No,0,4,NAmes,38,5,5,Y,0,No,CompShg,Hip,Normal,165500,WD,0,Pave,6,1398,AllPub,0,1959,1959,2010,2718,10552,60.89,15.684230477634571
35,1561,0,0,None,2,TwnhsE,TA,No,1153,0,GLQ,Unf,1,0,Ex,408,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,NO,Gd,1,PConc,2,Typ,556,2,TA,Fin,TA,Attchd,2005.0,1561,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7313,Inside,60.0,Reg,0,120,RL,246.0,BrkFace,No,0,8,NridgHt,47,5,9,Y,0,No,CompShg,Hip,Normal,277500,WD,0,Pave,6,1561,AllPub,203,2005,2005,2007,2714,7313,102.25,37.94612334199371
36,1132,1320,0,None,4,1Fam,TA,Av,0,0,Unf,Unf,0,0,Ex,1117,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,3,Typ,691,3,TA,Fin,TA,BuiltIn,2004.0,2452,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,13418,Inside,108.0,Reg,0,60,RL,132.0,Stone,No,0,9,NridgHt,32,5,8,Y,0,No,CompShg,Gable,Normal,309000,WD,0,Pave,9,1117,AllPub,113,2004,2005,2006,2452,13418,126.02,23.02876732747056
37,1097,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1097,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,NO,0,PConc,1,Typ,672,2,TA,Unf,TA,Attchd,1995.0,1097,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,10859,Corner,112.0,Reg,0,20,RL,0.0,None,No,0,6,CollgCr,64,5,5,Y,0,No,CompShg,Gable,Normal,145000,WD,0,Pave,6,1097,AllPub,392,1994,1995,2009,1097,10859,132.18,13.352979095681002
38,1297,0,0,None,3,1Fam,TA,No,1213,0,Rec,Unf,0,1,TA,84,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NO,TA,1,CBlock,1,Typ,498,2,TA,Fin,TA,Attchd,1954.0,1297,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,8532,Inside,74.0,Reg,0,20,RL,650.0,BrkFace,No,0,10,NAmes,0,6,5,Y,0,No,CompShg,Hip,Normal,153000,WD,0,Pave,5,1297,AllPub,0,1954,1990,2009,2510,8532,60.96,17.932489451476794
39,1057,0,0,None,3,1Fam,TA,No,731,0,GLQ,Unf,1,0,TA,326,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,NO,NO,0,CBlock,1,Typ,246,1,TA,Unf,TA,Detchd,1953.0,1057,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,None,No,0,1,NAmes,52,7,5,Y,0,No,CompShg,Gable,Abnorml,109000,WD,0,Pave,5,1057,AllPub,0,1953,2007,2010,1788,7922,60.96,13.759151729361273
40,1152,0,0,None,2,Duplex,No,No,0,0,No,No,0,0,No,0,N,Norm,Norm,FuseP,0,TA,TA,AsbShng,Plywood,NO,NO,0,PConc,2,Typ,0,0,No,No,No,No,0,1152,0,GasA,TA,1Story,2,Fa,Lvl,Gtl,6040,Inside,65.0,Reg,0,90,RL,0.0,None,No,0,6,Edwards,0,5,4,N,0,No,CompShg,Gable,AdjLand,82000,WD,0,Pave,6,0,AllPub,0,1955,1955,2008,1152,6040,71.18,13.57615894039735
41,1324,0,0,None,3,1Fam,TA,No,643,0,Rec,Unf,0,0,TA,445,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,TA,1,CBlock,2,Typ,440,2,TA,RFn,TA,Attchd,1965.0,1324,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8658,Inside,84.0,Reg,0,20,RL,101.0,BrkFace,No,0,12,NAmes,138,5,6,Y,0,No,CompShg,Gable,Abnorml,160000,WD,0,Pave,6,1088,AllPub,0,1965,1965,2006,1967,8658,81.34,18.48001848001848
42,1328,0,0,None,2,1Fam,TA,Gd,967,0,BLQ,Unf,0,1,TA,383,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,NO,Gd,2,CBlock,1,Typ,308,1,TA,RFn,TA,Attchd,1959.0,1328,1,GasA,Gd,1Story,1,TA,Lvl,Gtl,16905,Inside,115.0,Reg,0,20,RL,0.0,None,No,0,7,Timber,104,6,5,P,0,No,CompShg,Gable,Normal,170000,WD,0,Pave,5,1350,AllPub,0,1959,1959,2007,2295,16905,74.07,10.056196391600118
43,884,0,0,None,2,1Fam,TA,Av,747,93,ALQ,LwQ,1,0,Gd,0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,NO,0,CBlock,1,Typ,504,2,Gd,RFn,TA,Attchd,1983.0,884,0,GasA,Gd,SFoyer,1,Gd,Lvl,Gtl,9180,CulDSac,0,IR1,0,85,RL,0.0,None,No,0,12,SawyerW,0,7,5,Y,0,No,CompShg,Gable,Normal,144000,WD,0,Pave,5,840,AllPub,240,1983,1983,2007,1724,9180,83.53,15.686274509803921
44,938,0,0,None,3,1Fam,TA,Av,280,491,LwQ,BLQ,1,0,Gd,167,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,NO,0,CBlock,1,Typ,308,1,TA,Unf,TA,Detchd,1977.0,938,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9200,CulDSac,0,IR1,0,20,RL,0.0,None,No,0,7,CollgCr,0,6,5,Y,0,No,CompShg,Hip,Normal,130250,WD,0,Pave,5,938,AllPub,145,1975,1980,2008,1709,9200,76.21,14.157608695652174
45,1150,0,0,None,3,1Fam,TA,No,179,506,ALQ,BLQ,1,0,TA,465,Y,Norm,Norm,FuseA,0,TA,TA,BrkFace,Wd Sdng,NO,NO,0,CBlock,1,Typ,300,1,TA,RFn,TA,Attchd,1959.0,1150,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7945,Inside,70.0,Reg,0,20,RL,0.0,None,No,0,5,NAmes,0,6,5,Y,0,No,CompShg,Gable,Normal,141000,WD,0,Pave,6,1150,AllPub,0,1959,1959,2006,1835,7945,76.84,17.74701069855255
